step,magnetization,energy,acceptance
501,0.140608,-86332.0,0.20984
502,0.12704,-86516.0,0.207968
503,0.119264,-86240.0,0.210032
504,0.110304,-86408.0,0.212992
505,0.10992,-85476.0,0.211392
506,0.11056,-85460.0,0.213792
507,0.111136,-85972.0,0.214112
508,0.112768,-86692.0,0.20936
509,0.110848,-86060.0,0.207968
510,0.103424,-86148.0,0.212128
511,0.09552,-85908.0,0.212624
512,0.089984,-85836.0,0.21288
513,0.084704,-85052.0,0.218096
514,0.089088,-85752.0,0.217136
515,0.085984,-86136.0,0.211952
516,0.086816,-86084.0,0.212416
517,0.076032,-85304.0,0.215408
518,0.068608,-85884.0,0.213184
519,0.069632,-85564.0,0.2136
520,0.073312,-85652.0,0.214448
521,0.081152,-86108.0,0.21512
522,0.080288,-85684.0,0.212336
523,0.07856,-86040.0,0.212512
524,0.086816,-86408.0,0.210304
525,0.09328,-86108.0,0.211296
526,0.085888,-85480.0,0.214128
527,0.090912,-86384.0,0.212752
528,0.097184,-86692.0,0.211392
529,0.095136,-86904.0,0.208672
530,0.090432,-86092.0,0.209456
531,0.094816,-86772.0,0.207088
532,0.1,-86388.0,0.209632
533,0.10624,-86492.0,0.210064
534,0.10304,-86220.0,0.212576
535,0.100512,-86368.0,0.211024
536,0.089184,-86308.0,0.211072
537,0.0872,-85964.0,0.210624
538,0.086976,-86600.0,0.212944
539,0.087104,-86496.0,0.20672
540,0.08928,-85968.0,0.209568
541,0.086784,-86576.0,0.209728
542,0.087712,-85812.0,0.212048
543,0.090528,-86144.0,0.212544
544,0.089536,-85420.0,0.213296
545,0.09312,-85712.0,0.216
546,0.090272,-86276.0,0.215248
547,0.085408,-86384.0,0.210752
548,0.080736,-85744.0,0.210976
549,0.080864,-85312.0,0.216256
550,0.06848,-85464.0,0.215984
551,0.064288,-85964.0,0.213392
552,0.064544,-86088.0,0.213184
553,0.065184,-85664.0,0.211392
554,0.06784,-85768.0,0.215056
555,0.059616,-85328.0,0.216112
556,0.0672,-85900.0,0.218064
557,0.062976,-86336.0,0.212
558,0.070496,-86448.0,0.21208
559,0.077952,-87856.0,0.206832
560,0.082016,-87108.0,0.204464
561,0.090944,-86744.0,0.208496
562,0.097408,-86832.0,0.20592
563,0.0968,-87232.0,0.210256
564,0.08752,-87040.0,0.204768
565,0.086496,-87284.0,0.20448
566,0.084416,-87472.0,0.205232
567,0.079552,-86572.0,0.206688
568,0.075744,-86176.0,0.213968
569,0.07872,-86204.0,0.214064
570,0.074336,-85940.0,0.215056
571,0.081664,-86664.0,0.211344
572,0.077344,-87364.0,0.2084
573,0.083616,-87204.0,0.2072
574,0.093184,-87420.0,0.207664
575,0.104064,-86980.0,0.207616
576,0.109792,-87336.0,0.207216
577,0.109088,-86928.0,0.206624
578,0.098688,-87012.0,0.208784
579,0.09216,-86484.0,0.21008
580,0.094144,-86808.0,0.207936
581,0.096224,-86344.0,0.206896
582,0.093248,-85960.0,0.211984
583,0.095648,-86300.0,0.214576
584,0.09584,-87116.0,0.211392
585,0.090272,-87620.0,0.204128
586,0.085344,-87580.0,0.204096
587,0.088544,-87388.0,0.207008
588,0.094368,-87224.0,0.204896
589,0.096448,-88272.0,0.205456
590,0.099456,-87392.0,0.200352
591,0.1056,-86968.0,0.203264
592,0.107424,-87724.0,0.205904
593,0.09552,-87076.0,0.203168
594,0.09392,-87032.0,0.208704
595,0.094688,-87284.0,0.208096
596,0.098688,-87544.0,0.205744
597,0.101952,-87416.0,0.205184
598,0.10608,-87084.0,0.2044
599,0.100992,-87400.0,0.205456
600,0.100832,-87752.0,0.204272
601,0.100704,-87680.0,0.203552
602,0.104032,-87780.0,0.20352
603,0.11168,-88308.0,0.200976
604,0.119744,-87872.0,0.201504
605,0.112288,-88412.0,0.201584
606,0.11328,-87340.0,0.202992
607,0.101312,-88056.0,0.205056
608,0.108064,-88232.0,0.203472
609,0.099488,-88084.0,0.204512
610,0.105632,-87828.0,0.201184
611,0.10416,-88348.0,0.202336
612,0.094016,-87988.0,0.202608
613,0.093728,-88196.0,0.20216
614,0.094304,-87376.0,0.203264
615,0.098656,-87820.0,0.204864
616,0.097984,-87972.0,0.202544
617,0.096608,-87856.0,0.201456
618,0.089632,-88508.0,0.200128
619,0.101984,-88924.0,0.198112
620,0.09248,-87772.0,0.199536
621,0.089536,-87788.0,0.204064
622,0.094368,-87572.0,0.204784
623,0.10416,-87824.0,0.202944
624,0.099488,-88112.0,0.201568
625,0.104,-88468.0,0.20088
626,0.102656,-87712.0,0.201568
627,0.09376,-87044.0,0.202528
628,0.0872,-86712.0,0.205488
629,0.085632,-87156.0,0.20808
630,0.086752,-87036.0,0.206736
631,0.081632,-86840.0,0.205824
632,0.07824,-87132.0,0.207552
633,0.07472,-87684.0,0.203616
634,0.072896,-87148.0,0.205264
635,0.071712,-87316.0,0.207408
636,0.081888,-87464.0,0.206976
637,0.083392,-86592.0,0.206672
638,0.083168,-86784.0,0.21064
639,0.074528,-86684.0,0.209056
640,0.06912,-87044.0,0.208368
641,0.071808,-86880.0,0.209792
642,0.072608,-86596.0,0.212176
643,0.077152,-86240.0,0.21168
644,0.074112,-87000.0,0.208176
645,0.082144,-86948.0,0.208176
646,0.076096,-87104.0,0.20872
647,0.083168,-87384.0,0.208688
648,0.082016,-86332.0,0.210176
649,0.081824,-86796.0,0.211104
650,0.08704,-86472.0,0.20952
651,0.068448,-86664.0,0.212976
652,0.074464,-87084.0,0.207904
653,0.075616,-86288.0,0.210272
654,0.071296,-86952.0,0.207344
655,0.063392,-86312.0,0.209072
656,0.072224,-86904.0,0.208576
657,0.070944,-86780.0,0.209472
658,0.064448,-86592.0,0.210736
659,0.080928,-87344.0,0.208624
660,0.09008,-87292.0,0.204672
661,0.09696,-86508.0,0.209136
662,0.105536,-87932.0,0.209184
663,0.107424,-87372.0,0.205904
664,0.100672,-87696.0,0.206064
665,0.08976,-87536.0,0.206288
666,0.083456,-88160.0,0.200912
667,0.075712,-87372.0,0.202272
668,0.071616,-87436.0,0.205728
669,0.076896,-87440.0,0.20424
670,0.080096,-88824.0,0.200576
671,0.068096,-88508.0,0.200304
672,0.071104,-87976.0,0.200768
673,0.064224,-88180.0,0.199504
674,0.068224,-88440.0,0.200112
675,0.08272,-88068.0,0.20232
676,0.084832,-87916.0,0.20352
677,0.086336,-87432.0,0.203696
678,0.09312,-88308.0,0.200608
679,0.088672,-87500.0,0.202992
680,0.084544,-87440.0,0.20328
681,0.088928,-87404.0,0.203792
682,0.097376,-88464.0,0.200256
683,0.098304,-88032.0,0.199824
684,0.102016,-87800.0,0.202912
685,0.086272,-87436.0,0.204096
686,0.085248,-87348.0,0.202816
687,0.080672,-87296.0,0.2076
688,0.088544,-88208.0,0.202944
689,0.096832,-87512.0,0.202512
690,0.08976,-87496.0,0.20472
691,0.085504,-87444.0,0.205584
692,0.086048,-87340.0,0.204304
693,0.082656,-87208.0,0.206176
694,0.085344,-86964.0,0.20528
695,0.071904,-86512.0,0.208864
696,0.082112,-86132.0,0.210832
697,0.08352,-86340.0,0.212288
698,0.0864,-86056.0,0.212
699,0.09056,-86364.0,0.213376
700,0.08144,-86768.0,0.209264
701,0.077984,-85840.0,0.212864
702,0.081152,-86136.0,0.21416
703,0.07168,-86344.0,0.210784
704,0.06416,-86796.0,0.210352
705,0.071808,-86448.0,0.2108
706,0.072544,-87164.0,0.206992
707,0.074112,-87156.0,0.205776
708,0.068736,-87348.0,0.205504
709,0.067104,-87180.0,0.205072
710,0.0784,-86060.0,0.20904
711,0.078304,-86960.0,0.21064
712,0.08416,-87936.0,0.202512
713,0.078976,-87344.0,0.204416
714,0.073312,-87300.0,0.20472
715,0.06752,-87408.0,0.204912
716,0.074016,-87940.0,0.202928
717,0.074528,-87072.0,0.20384
718,0.078208,-87552.0,0.206704
719,0.082592,-86972.0,0.207696
720,0.089472,-87080.0,0.2076
721,0.082816,-87168.0,0.205664
722,0.080736,-87232.0,0.2052
723,0.087104,-87460.0,0.205296
724,0.090432,-87940.0,0.204544
725,0.083648,-87560.0,0.204768
726,0.086592,-86708.0,0.206176
727,0.082336,-87016.0,0.206384
728,0.074848,-87552.0,0.205504
729,0.078752,-87300.0,0.205024
730,0.074912,-87000.0,0.207744
731,0.0736,-87192.0,0.20632
732,0.0808,-86616.0,0.206736
733,0.079808,-87304.0,0.2076
734,0.080544,-87088.0,0.207184
735,0.079616,-87024.0,0.206992
736,0.078976,-87140.0,0.20672
737,0.08544,-87444.0,0.2096
738,0.078656,-87588.0,0.20688
739,0.075392,-86796.0,0.205312
740,0.07856,-86496.0,0.209136
741,0.07904,-87148.0,0.207344
742,0.078944,-86672.0,0.20696
743,0.079424,-87692.0,0.208496
744,0.069536,-87740.0,0.20328
745,0.061952,-86580.0,0.206544
746,0.064192,-86888.0,0.209888
747,0.068352,-86896.0,0.209024
748,0.067616,-87352.0,0.208016
749,0.064736,-87160.0,0.203744
750,0.063968,-87468.0,0.204928
751,0.059648,-87436.0,0.200912
752,0.06224,-86972.0,0.204176
753,0.066688,-87076.0,0.203664
754,0.055584,-86796.0,0.20664
755,0.056544,-86716.0,0.209024
756,0.056448,-87492.0,0.205584
757,0.063488,-87040.0,0.205632
758,0.071104,-87212.0,0.20656
759,0.07504,-87500.0,0.206832
760,0.068032,-87312.0,0.20504
761,0.060832,-87440.0,0.204656
762,0.064256,-87128.0,0.207536
763,0.064352,-87232.0,0.204464
764,0.060928,-86304.0,0.209328
765,0.057664,-86148.0,0.213024
766,0.067232,-86900.0,0.209424
767,0.069024,-86488.0,0.20928
768,0.062976,-86332.0,0.212048
769,0.066272,-86508.0,0.212944
770,0.059296,-85788.0,0.212384
771,0.064608,-86152.0,0.213408
772,0.062048,-85404.0,0.21616
773,0.048736,-85428.0,0.214432
774,0.043648,-85604.0,0.21672
775,0.043424,-85544.0,0.214736
776,0.04592,-86016.0,0.21632
777,0.04016,-86412.0,0.210752
778,0.0472,-86540.0,0.208928
779,0.039584,-86628.0,0.209248
780,0.041824,-86884.0,0.205952
781,0.045536,-86364.0,0.210816
782,0.044704,-86884.0,0.214528
783,0.035936,-86404.0,0.21072
784,0.0296,-86504.0,0.211456
785,0.0304,-86536.0,0.211696
786,0.030368,-86520.0,0.20904
787,0.01648,-86344.0,0.209696
788,0.015744,-86088.0,0.21384
789,0.023904,-87120.0,0.21016
790,0.029312,-87148.0,0.208144
791,0.02352,-87404.0,0.2044
792,0.024896,-88360.0,0.20296
793,0.02736,-88412.0,0.19816
794,0.025792,-87880.0,0.200496
795,0.013056,-87832.0,0.204
796,0.011104,-87604.0,0.202704
797,0.014048,-87884.0,0.205408
798,0.016832,-87724.0,0.200976
799,0.01408,-87476.0,0.20336
800,0.019904,-87984.0,0.202816
801,0.030976,-87364.0,0.203808
802,0.027904,-87200.0,0.20352
803,0.030624,-87168.0,0.204496
804,0.021664,-87784.0,0.204672
805,0.02752,-87220.0,0.204272
806,0.021024,-87968.0,0.203024
807,0.008256,-87512.0,0.204048
808,0.013184,-87716.0,0.203776
809,0.011072,-86900.0,0.2048
810,0.00224,-87156.0,0.207552
811,0.01072,-87180.0,0.206224
812,-0.003424,-87432.0,0.206112
813,-0.005984,-87272.0,0.205728
814,-0.002848,-87520.0,0.204416
815,-0.005504,-87532.0,0.20392
816,-0.007072,-87156.0,0.20536
817,0.002048,-87592.0,0.205808
818,0.002496,-87972.0,0.20208
819,0.004096,-87880.0,0.203232
820,0.00896,-87092.0,0.203424
821,0.010016,-86652.0,0.208592
822,-0.004,-88356.0,0.2064
823,-0.003904,-89000.0,0.198032
824,-0.000192,-88332.0,0.200864
825,-0.00544,-88240.0,0.19904
826,-0.004896,-87604.0,0.200752
827,-0.011456,-87204.0,0.205936
828,-0.001952,-87068.0,0.20808
829,-0.005408,-87248.0,0.205056
830,-0.0032,-87480.0,0.2052
831,0.015104,-87376.0,0.208416
832,0.012736,-87704.0,0.205152
833,0.01312,-86572.0,0.2072
834,0.001504,-87124.0,0.208784
835,-0.012544,-87336.0,0.20904
836,-0.003744,-87040.0,0.205904
837,-0.006432,-86504.0,0.20688
838,-0.01104,-86560.0,0.210304
839,-0.014688,-86540.0,0.21216
840,-0.020032,-86740.0,0.208784
841,-0.017856,-86856.0,0.208704
842,-0.012064,-87640.0,0.204496
843,-0.00384,-87208.0,0.20424
844,0.006752,-86400.0,0.210448
845,0.0024,-86252.0,0.213472
846,0.006496,-86152.0,0.213408
847,0.01792,-86024.0,0.212784
848,0.00896,-86420.0,0.214816
849,0.02304,-85960.0,0.212736
850,0.026272,-86136.0,0.210608
851,0.02416,-87440.0,0.208704
852,0.01936,-87432.0,0.203136
853,0.023936,-86980.0,0.209456
854,0.029248,-86960.0,0.209952
855,0.03328,-87288.0,0.206688
856,0.032416,-87236.0,0.20616
857,0.034528,-87488.0,0.204352
858,0.027232,-87292.0,0.206304
859,0.019808,-86952.0,0.208832
860,0.018496,-86820.0,0.208176
861,0.029952,-87220.0,0.207648
862,0.0256,-87080.0,0.208224
863,0.029248,-87392.0,0.205312
864,0.037728,-87536.0,0.204048
865,0.040608,-87152.0,0.206816
866,0.040448,-87088.0,0.204816
867,0.056096,-87644.0,0.204912
868,0.053536,-87832.0,0.202912
869,0.062848,-86620.0,0.204752
870,0.06144,-86964.0,0.20912
871,0.055712,-86904.0,0.209456
872,0.060672,-86060.0,0.208912
873,0.060608,-86492.0,0.211712
874,0.060032,-86624.0,0.21072
875,0.050816,-85988.0,0.210816
876,0.043072,-85564.0,0.212576
877,0.04816,-85324.0,0.213648
878,0.047712,-85856.0,0.214816
879,0.055328,-85344.0,0.215392
880,0.05648,-85880.0,0.21696
881,0.054656,-87164.0,0.209072
882,0.057824,-86972.0,0.20712
883,0.061664,-87220.0,0.206752
884,0.06352,-86932.0,0.208896
885,0.05488,-85696.0,0.2128
886,0.065504,-85748.0,0.214144
887,0.067776,-86304.0,0.21448
888,0.066144,-86656.0,0.210928
889,0.066272,-86500.0,0.212096
890,0.071712,-86672.0,0.209824
891,0.076864,-86888.0,0.20872
892,0.092928,-87296.0,0.207616
893,0.087168,-85928.0,0.207456
894,0.079808,-85564.0,0.21184
895,0.088544,-85968.0,0.21528
896,0.082816,-86088.0,0.213744
897,0.072096,-86632.0,0.208784
898,0.07456,-86168.0,0.212144
899,0.079456,-86192.0,0.211056
900,0.077024,-86100.0,0.213824
901,0.084448,-85668.0,0.216032
902,0.07648,-85804.0,0.216304
903,0.078752,-86032.0,0.21432
904,0.086944,-86748.0,0.209952
905,0.085632,-85428.0,0.21272
906,0.085568,-86192.0,0.21488
907,0.076192,-86188.0,0.213072
908,0.064736,-86680.0,0.212448
909,0.071168,-85964.0,0.213744
910,0.062048,-86856.0,0.210576
911,0.041344,-87064.0,0.207248
912,0.041216,-86688.0,0.209696
913,0.044224,-87264.0,0.208544
914,0.031136,-86904.0,0.206256
915,0.031808,-87088.0,0.206896
916,0.041824,-87040.0,0.2092
917,0.03952,-86596.0,0.20816
918,0.03952,-87112.0,0.208224
919,0.044544,-86732.0,0.206064
920,0.047424,-86244.0,0.209728
921,0.041184,-86600.0,0.209072
922,0.04912,-86860.0,0.204992
923,0.049856,-86040.0,0.2092
924,0.052992,-86188.0,0.210688
925,0.04336,-87044.0,0.2092
926,0.043904,-86944.0,0.20872
927,0.058112,-86308.0,0.208864
928,0.050432,-86196.0,0.212896
929,0.044416,-85828.0,0.213152
930,0.0416,-86560.0,0.211776
931,0.025696,-86924.0,0.210896
932,0.024576,-87188.0,0.20664
933,0.024512,-87692.0,0.206656
934,0.025472,-87128.0,0.206048
935,0.023616,-86880.0,0.207008
936,0.01088,-87020.0,0.207008
937,0.009088,-87188.0,0.204256
938,0.007712,-86760.0,0.209776
939,0.002016,-86040.0,0.211552
940,0.003456,-86668.0,0.211184
941,0.000224,-86472.0,0.208176
942,-0.004096,-86348.0,0.211408
943,-0.000608,-86644.0,0.210192
944,0.000384,-87000.0,0.209264
945,0.007584,-86624.0,0.209936
946,0.004064,-86596.0,0.21168
947,0.012416,-87588.0,0.205488
948,0.019104,-86480.0,0.206416
949,0.02432,-86964.0,0.207376
950,0.028128,-86708.0,0.209392
951,0.022304,-86172.0,0.211456
952,0.02544,-86348.0,0.212128
953,0.02304,-85584.0,0.210608
954,0.019712,-85984.0,0.211808
955,0.022688,-85584.0,0.21256
956,0.02512,-86228.0,0.214368
957,0.02784,-85636.0,0.215376
958,0.01952,-86404.0,0.212608
959,0.013024,-86324.0,0.212624
960,0.009632,-85904.0,0.214816
961,0.007808,-86244.0,0.211568
962,0.003872,-86424.0,0.209424
963,0.006528,-87148.0,0.206896
964,0.018816,-86668.0,0.206912
965,0.027168,-86600.0,0.209968
966,0.027488,-86700.0,0.211648
967,0.035072,-86136.0,0.211248
968,0.048864,-85516.0,0.214896
969,0.046816,-85544.0,0.215936
970,0.047712,-86032.0,0.2144
971,0.052864,-85672.0,0.214576
972,0.062432,-86032.0,0.215952
973,0.050816,-86040.0,0.212976
974,0.06352,-86420.0,0.213072
975,0.064448,-86260.0,0.211472
976,0.063648,-86700.0,0.210288
977,0.071968,-86624.0,0.209312
978,0.072672,-86076.0,0.210944
979,0.076672,-86632.0,0.209904
980,0.08192,-86776.0,0.210208
981,0.075552,-85712.0,0.211472
982,0.069696,-85532.0,0.21448
983,0.074176,-85556.0,0.214112
984,0.083328,-85556.0,0.215552
985,0.077856,-87068.0,0.213392
986,0.081856,-86952.0,0.209392
987,0.086624,-86992.0,0.209328
988,0.085632,-87356.0,0.205552
989,0.07488,-86944.0,0.208288
990,0.078176,-86784.0,0.207152
991,0.081024,-86668.0,0.207504
992,0.08768,-86100.0,0.209056
993,0.091552,-86748.0,0.211056
994,0.08464,-86164.0,0.209472
995,0.087968,-86448.0,0.21264
996,0.077888,-86672.0,0.213136
997,0.066272,-86144.0,0.211824
998,0.069728,-86976.0,0.211648
999,0.074176,-86956.0,0.209456
